,result,top_win_rate,top_lane_kill_rate,top_kda,top_kill_participate,top_damage,jg_win_rate,jg_kda,jg_kill_participate,jg_damage,mid_win_rate,mid_lane_kill_rate,mid_kda,mid_kill_participate,mid_damage,adc_win_rate,adc_lane_kill_rate,adc_kda,adc_kill_participate,adc_damage,sup_win_rate,sup_lane_kill_rate,sup_kda,sup_kill_participate
359,1,0.3694,0.5402,0.3962655601659751,0.4600715137067938,0.49479814692256785,0.5123,0.5313807531380753,0.4919839679358717,0.5058648459383753,0.4219,0.3023,0.4302103250478011,0.4869848156182213,0.5497622856627836,0.4917,0.5540999999999999,0.5490981963927856,0.5104384133611691,0.4873727190240952,0.5041,0.5443,0.5115894039735099,0.4634146341463415
360,0,0.5303,0.6023,0.5787037037037037,0.5174825174825175,0.5571990203660737,0.451,0.49301397205588826,0.4834834834834834,0.45730070541232287,0.5263,0.516,0.36196319018404904,0.4673202614379085,0.49988959425890145,0.5053,0.4803,0.5366795366795367,0.5118191161356629,0.5806613705972435,0.4805,0.4619,0.45894736842105266,0.4915254237288136
361,1,0.4731,0.4704,0.42316258351893093,0.4631043256997456,0.4708585388552815,0.5004,0.5295358649789029,0.5077399380804953,0.5156344685492668,0.5336,0.4756,0.5389344262295082,0.5031512605042018,0.5434598958088891,0.5142,0.5639,0.5711645101663586,0.5283213182286303,0.5021756481886763,0.4804,0.545,0.4485294117647059,0.5390898483080514
362,0,0.46049999999999996,0.36469999999999997,0.41743119266055045,0.48081534772182255,0.473639091298757,0.508,0.5273833671399595,0.5087001023541453,0.5586913161263434,0.4654,0.4522,0.47651006711409394,0.5020040080160321,0.50087717130785,0.5113000000000001,0.54,0.5037453183520599,0.5064377682403434,0.5250944072909854,0.5144,0.537,0.41959064327485385,0.49894291754756875
364,0,0.434,0.3874,0.3374083129584352,0.4398340248962656,0.41333259294222174,0.5266,0.5143953934740884,0.4953271028037383,0.5256266222446054,0.528,0.5518,0.5032967032967033,0.49800796812749,0.522949356384478,0.5122,0.4839,0.4785407725321888,0.4853249475890985,0.4640006560244916,0.5366,0.5194,0.5803212851405622,0.4942263279445728
365,1,0.4777,0.4214,0.4020618556701031,0.4539722572509458,0.4949609398294472,0.5146000000000001,0.5644067796610169,0.5059171597633135,0.3721775806275679,0.5191,0.4882,0.5991820040899795,0.5141657922350472,0.5222590546347452,0.5017,0.46619999999999995,0.47912524850894633,0.49021627188465505,0.4635940933013132,0.5327000000000001,0.3862,0.5722543352601156,0.5514223194748359
366,1,0.479,0.5613,0.43544303797468353,0.4723163841807909,0.4926020408163265,0.4991,0.5305466237942122,0.4943502824858757,0.3821299821434588,0.5191,0.4882,0.5991820040899795,0.5141657922350472,0.5222590546347452,0.5338,0.5807,0.5207920792079208,0.49639546858908346,0.5066350175200633,0.5267000000000001,0.4242,0.5295202952029521,0.5264293419633226
367,1,0.49729999999999996,0.5125,0.45353982300884954,0.4840357598978289,0.5242788729257155,0.5035000000000001,0.528066528066528,0.4941747572815534,0.4688956808990152,0.5515,0.44530000000000003,0.42736842105263156,0.4624413145539907,0.5394776905960885,0.5347999999999999,0.3875,0.5353075170842824,0.5030425963488844,0.5255527177979,0.5022,0.4154,0.48292682926829267,0.5062814070351759
368,0,0.5025000000000001,0.5219,0.5255102040816326,0.5098039215686274,0.5213975490331683,0.4733,0.42976588628762535,0.5267770204479065,0.6737427343947435,0.4772,0.6920999999999999,0.4762979683972912,0.4978308026030369,0.4459030582804385,0.5395000000000001,0.6181,0.6119096509240246,0.5508474576271186,0.5580730761379873,0.4802,0.4646,0.504016064257028,0.5160575858250276
369,0,0.5158,0.5295000000000001,0.54337899543379,0.5384615384615384,0.49877634799084236,0.5105,0.48262548262548266,0.5366515837104072,0.6498465031086346,0.5561,0.5534,0.5849056603773585,0.5267857142857143,0.5213640098603123,0.4839,0.3803,0.47105788423153694,0.4877005347593583,0.5107014047076689,0.5536,0.46840000000000004,0.5971370143149285,0.5242825607064018
